Coaches_id,Teams_id,Name
1,25,Mike Budenholzer
2,20,Brad Stevens
3,14,Kenny Atkinson
4,26,Fred Hoiberg
5,10,Steve Clifford
6,5,Tyronn Lue
7,28,Rick Carlisle
8,6,Mike Malone
9,22,Stan Van Gundy
10,1,Steve Kerr
11,2,Mike D'Antoni
12,17,Nate McMillan
13,9,Doc Rivers
14,11,Luke Walton
15,29,David Fizdale
16,29,J.B. Bickerstaff
17,23,Erik Spoelstra
18,15,Jason Kidd
19,15,Joe Prunty
20,8,Tom Thibodeau
21,3,Alvin Gentry
22,18,Jeff Hornacek
23,12,Billy Donovan
24,24,Frank Vogel
25,7,Brett Brown
26,21,Earl Watson
27,21,Jay Triano
28,16,Terry Stotts
29,30,Dave Joerger
30,27,Gregg Popovich
31,4,Dwane Casey
32,19,Quin Snyder
33,13,Scott Brooks
